AirlineName,AirportName,AvgDelay
"Alaska Airlines Inc.: AS","Columbus, OH: John Glenn Columbus International",35.1613
"Allegiant Air: G4","St. Cloud, MN: St. Cloud Regional",135.6250
"American Airlines Inc.: AA","Amarillo, TX: Rick Husband Amarillo International",47.9677
"Delta Air Lines Inc.: DL","South Bend, IN: South Bend International",50.0000
"Endeavor Air Inc.: 9E","Louisville, KY: Louisville Muhammad Ali International",30.7895
"Envoy Air: MQ","Bozeman, MT: Bozeman Yellowstone International",56.9655
"ExpressJet Airlines LLC: EV","Midland/Odessa, TX: Midland International Air and Space Port",45.7500
"Frontier Airlines Inc.: F9","Green Bay, WI: Green Bay Austin Straubel International",58.1429
"Hawaiian Airlines Inc.: HA","Pago Pago, TT: Pago Pago International",18.8889
"JetBlue Airways: B6","Houston, TX: George Bush Intercontinental/Houston",140.6000
"Mesa Airlines Inc.: YV","Burlington, VT: Burlington International",116.1250
"PSA Airlines Inc.: OH","Lansing, MI: Capital Region International",30.9355
"Republic Airline: YX","Colorado Springs, CO: City of Colorado Springs Municipal",66.0000
"SkyWest Airlines Inc.: OO","West Yellowstone, MT: Yellowstone",97.7692
"Southwest Airlines Co.: WN","New York, NY: LaGuardia",18.6306
"Spirit Air Lines: NK","Phoenix, AZ: Phoenix Sky Harbor International",34.1290
"United Air Lines Inc.: UA","Aguadilla, PR: Rafael Hernandez",46.5161
